Transportadora;Email;Cidade;UF
FIEZA Cargas;comercial@fiezacargas.com.br;RIO-BRANCO;AC
FRANCA EXPRESS;francaexpress@francaexpress.com.br;RIO-BRANCO;AC
FRETEBR Cargas;cotacao@fretebr.net.br;RIO-BRANCO;AC
FRETELOG;comercial@fretelogtransportes.com.br;RIO-BRANCO;AC
FRETTE Intermodal;cotacao@fretteintermodal.com.br;RIO-BRANCO;AC
FUTURA LOG;cotacao@futuralog.com.br;RIO-BRANCO;AC
GAMPER;cotacaosp@transgamper.com.br;RIO-BRANCO;AC
GRIDLOG;comercial.sp@gridlog.com.br;RIO-BRANCO;AC
GUIEX;comercial@guiextransportes.com;RIO-BRANCO;AC
GVTR Transportes;comercial@gvtrtransportes.com.br;RIO-BRANCO;AC
HAPPENING;fabio@happening.com.br;RIO-BRANCO;AC
HERVI;claudia@hervi.com.br;RIO-BRANCO;AC
IDEAL Cargas SP;comercial5@idealcargas.com;RIO-BRANCO;AC
IDS -Logística;idslogisticagru@gmail.com;RIO-BRANCO;AC
IMPAKTO;comercial.sp@impaktotransportes.com.br;RIO-BRANCO;AC
IMPÉRIO Logística;comercial@imperiologistica.com.br;RIO-BRANCO;AC
ITAPIRENSE-BERTINI;mbuenom@terra.com.br;RIO-BRANCO;AC
J&C;transportesjc366@gmail.com;RIO-BRANCO;AC
JAK LOG;expressojaklogcotacoes@hotmail.com;RIO-BRANCO;AC
JEM;cotacao@dfltransportes.com.br;RIO-BRANCO;AC
JJ2000 Transportes;saopaulo@jj2000.com.br;RIO-BRANCO;AC
JM TRANSPORTES;jm.gerenciasp@jmtransporte.com.br;RIO-BRANCO;AC
JOLEEMIX;expedicaosp2@jolee.com.br;RIO-BRANCO;AC
JORTEK Express;comercial@jortek.com.br;RIO-BRANCO;AC
JT Transportes;walquiria@jttransportes.com.br;RIO-BRANCO;AC
JULIA Transportes;cotacao@juliatransportes.com.br;RIO-BRANCO;AC
KAFENY;kafeny@kafenytransportes.com.br;RIO-BRANCO;AC
L&A Transportes;operacional@latranslog.com.br;RIO-BRANCO;AC
LAURIMAR;comercial@laurimar.com.br;RIO-BRANCO;AC
LDJ Logística;ldjsaopaulo@ldjlogistica.com.br;RIO-BRANCO;AC
LEADERSHIP FREIGHT;sao@lfgex.com;RIO-BRANCO;AC
LEOFRAN;comercial.sp@leofran.com.br;RIO-BRANCO;AC
LFE Logística e Armazenagem;financeiro@lfelogistica.com.br;RIO-BRANCO;AC
LGS Logística;comercial@lgslogistica.com.br;RIO-BRANCO;AC
LILOG Express;cotacaoaereo@lilog.com.br;RIO-BRANCO;AC
LILOG Rodoaéreo;cotacao01@lilog.com.br;RIO-BRANCO;AC
LIMA Express;comercial1@lslimaexpress.com.br;RIO-BRANCO;AC
LIVE LOG;comercial@livelogtrans.com.br;RIO-BRANCO;AC
LOGISTAR;comercial@logistarlog.com.br;RIO-BRANCO;AC
LOGMED;contato@logmed.net;RIO-BRANCO;AC
LUKS PRESS;comercial@lukspresstransportes.com.br;RIO-BRANCO;AC
LUNA EXPRESS;contato@lunaexpress.com.br;RIO-BRANCO;AC
LUXUS;sac@expressoluxus.com.br;RIO-BRANCO;AC
MCP Transportes;comercial@mcptransportes.com.br;RIO-BRANCO;AC
METATRON;cotacao.b@metatronexpress.com.br;RIO-BRANCO;AC
MODULAR;comercialsp@modular.com.br;RIO-BRANCO;AC
MONTANTTE;montantte@montanttetransportes.com.br;RIO-BRANCO;AC
MONTCAR Expresso;saopaulo@expressomontcar.com.br;RIO-BRANCO;AC
MONTONE;vendas2@transmontone.com.br;RIO-BRANCO;AC
MOTIVA;comercial@motivatransportes.com.br;RIO-BRANCO;AC
MVS -Transportes;mvstransportes@hotmail.com;RIO-BRANCO;AC
NACIONAL Cargas;comercial@nacionalcargas.com;RIO-BRANCO;AC
NOVA BRASÍLIA;comercial@tnb.com.br;RIO-BRANCO;AC
NR Express;comercial@nrexpress.com.br;RIO-BRANCO;AC
OSTEL;ostel@ostel.com.br;RIO-BRANCO;AC
OVERLOG;comercial2@overlog.com.br;RIO-BRANCO;AC
PAPALÉGUAS;sac@papaleguasencomendas.com.br;RIO-BRANCO;AC
PERFECT SP;comercial1@perfectsp.com.br;RIO-BRANCO;AC
PEXLOG;comercial.sp@pexlog.com.br;RIO-BRANCO;AC
POTENCIAL Cargas;comercial@potencialcargas.com.br;RIO-BRANCO;AC
PRESSÁGIO;cotacao@expressopressagio.com.br;RIO-BRANCO;AC
PRIMORDIAL Cargas;comercial@primordialcargas.com.br;RIO-BRANCO;AC
PROGRESSO;cotacao@progressotransportes.com.br;RIO-BRANCO;AC
QUALY TRANS;marcos@qualytrans.net;RIO-BRANCO;AC
R&J Transportes;cotacao@rjtransportes.com.br;RIO-BRANCO;AC
R&M Transportes;comercial@rmlogisticasp.com.br;RIO-BRANCO;AC
RD Expresslog;comercial3@rdexpresslog.com.br;RIO-BRANCO;AC
REFERENCIAL;referencial@referencialtransportes.com.br;RIO-BRANCO;AC
RFC Transportes;comercial@transportesrfc.com.br;RIO-BRANCO;AC
RG OSASCO;vendasrggo@rgtransportes.com.br;RIO-BRANCO;AC
RG Soluções Logísticas;comercialrgsolucoes@rgtransportes.com.br;RIO-BRANCO;AC
RHADASSA LOG;comercial@rhadassalog.com.br;RIO-BRANCO;AC
RISPA;contato@rispatransportes.com.br;RIO-BRANCO;AC
RLV LOG Express;cotacao@rlvlog.com.br;RIO-BRANCO;AC
ROCHA ;comercial2@rochatransporte.com.br;RIO-BRANCO;AC
RODOCERTO;assistente.comercial@rodocerto.com.br;RIO-BRANCO;AC
RODOJUNIOR;rodojunior@pocos-net.com.br;RIO-BRANCO;AC
RODONORTE;rodonorte.spo@gmail.com;RIO-BRANCO;AC
RODUART;atendimento@roduart.com.br;RIO-BRANCO;AC
ROMERA;l.expressoromera@ig.com.br;RIO-BRANCO;AC
RORAIMA Logística;cotacoes@roraimalog.com.br;RIO-BRANCO;AC
SANTA LUZIA;atendimento@expressosantaluzia.com.br;RIO-BRANCO;AC
SARON;cotacao@rapidosaron.com.br;RIO-BRANCO;AC
SCARPATO;scarpatope@uol.com.br;RIO-BRANCO;AC
SEGMA;comercial@segmatransporte.com.br;RIO-BRANCO;AC
SJLOG Transportes;comercial@sjlogtransportes.com.br;RIO-BRANCO;AC
SONS Transportes;dayse.comercial@sonstransportes.com;RIO-BRANCO;AC
SPMax;comercial@spmaxtransportes.com.br;RIO-BRANCO;AC
STREET;comercial@streettransportes.com.br;RIO-BRANCO;AC
SUED Logística;comercial@suedlogistica.com;RIO-BRANCO;AC
TADEX;tadex@tadex.com.br;RIO-BRANCO;AC
TAMBAÚ;comercial@rapidotambau.com.br;RIO-BRANCO;AC
TB CARGO;brunno@tbcargo.com.br;RIO-BRANCO;AC
TESLLA;transportes@tesllalogistica.com;RIO-BRANCO;AC
TFE ;contato@tfetransportes.com.br;RIO-BRANCO;AC
TRAGA-Garcia São Carlos;cotacao@traga.com.br;RIO-BRANCO;AC
TRANS DNL;comercial@transdnl.com.br;RIO-BRANCO;AC
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;RIO-BRANCO;AC
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;RIO-BRANCO;AC
TRANSCARGA São Carlos;ttsp@terra.com.br;RIO-BRANCO;AC
TRANSCHICÃO;coleta@transchicao.com.br;RIO-BRANCO;AC
TRANSDEL LOG;fabricio.comercial@transdel.net;RIO-BRANCO;AC
TRANSFACE;comercial.sp02@transface.com.br;RIO-BRANCO;AC
TRANSHIZZA;emerson@transhizza.com.br;RIO-BRANCO;AC
TRANSITA;transita@transita.com.br;RIO-BRANCO;AC
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;RIO-BRANCO;AC
TRANSNORTEX;comercial.sp@transnortex.com.br;RIO-BRANCO;AC
TRANSOUZA;transouzasp@hotmail.com;RIO-BRANCO;AC
TRANSPALOTA;cotacao@transpalota.com.br;RIO-BRANCO;AC
TRANSPAULA;comercial@transpaula.com.br;RIO-BRANCO;AC
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;RIO-BRANCO;AC
TRANSPEN Cargas;logistica@transpen.com.br;RIO-BRANCO;AC
TRANSR Sorocaba;contato@transrsorocaba.com.br;RIO-BRANCO;AC
TRANSVOAR;comercial1@transvoar.com.br;RIO-BRANCO;AC
TRANSWELL'S;transwells@transwells.com.br;RIO-BRANCO;AC
TRANSZECÃO;coleta@transzecao.com.br;RIO-BRANCO;AC
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;RIO-BRANCO;AC
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;RIO-BRANCO;AC
TRUCKS Transportes;contato@ricardotruck.com.br;RIO-BRANCO;AC
TUPILOG;cotacao@tupilog.com.br;RIO-BRANCO;AC
VELFRANZ LOG;velfranzlog@gmail.com;RIO-BRANCO;AC
VIA MUNDO;contato.transvias@viamundotransportes.com.br;RIO-BRANCO;AC
VIA SP Transporte;venancioweriton@gmail.com;RIO-BRANCO;AC
VOO Transportes;comercialmtz02@vootransportes.com.br;RIO-BRANCO;AC
VSJ Express;comercial@vsjexpress.com.br;RIO-BRANCO;AC
WELL Rápido Well;cotacao@rapidowell.com.br;RIO-BRANCO;AC
1ª AÇÃO Transportes;comercial@transportesacao.com.br;MACEIO;AL
3A Logística;comercial@3alt.com.br;MACEIO;AL
5 COMETAS;comercial2@5cometas.com.br;MACEIO;AL
A&M LOG Transportes;comercial@amlogtransportes.com.br;MACEIO;AL
ABEA Transportes;abeatransportes@abeatransportes.com.br;MACEIO;AL
ADESSO Transporte;cotacao@adessotransporte.com.br;MACEIO;AL
ADL Transportes;comercial@adllogistica.online;MACEIO;AL
AFINCO;comercial@afincotransportes.com.br;MACEIO;AL
AJ CARGO;comercial@ajcargo.com.br;MACEIO;AL
AKILOG;comercial.sp@aki.log.br;MACEIO;AL
ALFA CARGAS ;comercial@alfacargas.com.br;MACEIO;AL
ALIANÇA Cargas;comercial@1aliancacargas.com.br;MACEIO;AL
ALLIAN;comercial@alliantransportes.com.br;MACEIO;AL
ALLIEX;alianca@alliexlog.com.br;MACEIO;AL
ALPHATRANS;comercial@alphatranstransportadora.com.br;MACEIO;AL
ALUV Logística;cotacao@aluvlog.com.br;MACEIO;AL
ANDRADES L.L.;cotacao@andradestransportes.com.br;MACEIO;AL
ASA NORTE;ronaldo@logisticaasanorte.com.br;MACEIO;AL
ASTR Transportes;logistica@astrtransportes.com.br;MACEIO;AL
ATUEX;atuex@transatual.com.br;MACEIO;AL
AVANTE SP;comercial@avantelogistica.com.br;MACEIO;AL
AVIAT;comercial.sao@aviatcargo.com.br;MACEIO;AL
AVILOG Logística;comercial1@avilogtransportes.com.br;MACEIO;AL
AZ DE PRATA;comercial@azdepratatransportadora.com.br;MACEIO;AL
Alternativa Transportadora;fretes@alternativatransportadora.com.br;MACEIO;AL
BARONI;comercial02@baronitransportes.com.br;MACEIO;AL
BCLOG Express;bclog.beatriz@bclogexpress.com.br;MACEIO;AL
BRAEX Encomedas;comercialspo@braexencomendas.com.br;MACEIO;AL
BRAEX Logística;braex@braexlogistica.com.br;MACEIO;AL
BRASIL EXPRESS;cotacoes@brasilexpress.srv.br;MACEIO;AL
BRASÍLIA Encomendas;comercialbrasiliaencomendasspo@gmail.com;MACEIO;AL
BROS Logística;comercial.spo@broslogistica.com.br;MACEIO;AL
CAMILLO dos SANTOS;sac01@camillodossantos.com.br;MACEIO;AL
CAMPINAS Rodoviário ;awa@rodoviariocampinas.com.br;MACEIO;AL
CARRION;reginaldo@carriontransportes.com.br;MACEIO;AL
CASH LOG;contato@cashlogistica.com.br;MACEIO;AL
CASTELO Rápido;cotacao@transportecastelo.com.br;MACEIO;AL
CAVALHEIRO LOG;saopaulo@cavalheirolog.com.br;MACEIO;AL
CAZAN;comercial@cazantransportes.com.br;MACEIO;AL
CFG Express;contato@cfgexpress.com.br;MACEIO;AL
CINCO R Transportes;cotacao@5rtransportes.com.br;MACEIO;AL
CLARA Transportes;leandro@claralogistica.com.br;MACEIO;AL
CM2 Transportes;cotacaosp@cm2.com.br;MACEIO;AL
COMPLETA Transportes;operacional@completatransportes.com.br;MACEIO;AL
CONTINENTE Cargas;comercial@continentecargas.com.br;MACEIO;AL
CORDIAL Cargas;comercial@cordialcargas.com.br;MACEIO;AL
CR LINS;crlins.operacoes@gmail.com;MACEIO;AL
DAGO;atendimento.gru@grupodago.com.br;MACEIO;AL
DANUBIO AZUL;comercial-sao@danubioazulcargas.com.br;MACEIO;AL
DATA;andersonlima@datatransporte.com.br;MACEIO;AL
DEFINITIVA Logística;comercial@definitivalog.com.br;MACEIO;AL
DGS Logística;comercial@dgslogistica.com.br;MACEIO;AL
DHS Express;comercial2@dhsexpress.com.br;MACEIO;AL
DIA e NOITE;comercial@transportesdiaenoite.com.br;MACEIO;AL
DL Transporte & Logística;comercial1@dltransportessp.com.br;MACEIO;AL
DL3 LOG;comercial@dl3log.com.br;MACEIO;AL
DLK Transportes;comercial@dlktransportes.com.br;MACEIO;AL
ED LOG Transportes;comercial@edlogtransportes.com.br;MACEIO;AL
ED LOG Transportes;rosana@edlogtransportes.com.br;MACEIO;AL
EFITRANS;comercialsp@efitrans.com.br;MACEIO;AL
EJS;cotacao@ejstransportes.com.br;MACEIO;AL
ET-Transportes;coletassp@etlog.com.br;MACEIO;AL
EUREKA;comercial.mtz@eurekatransportes.com.br;MACEIO;AL
EXPIDEX;comercial2@expidex.com.br;MACEIO;AL
Ebtrans Expresso Brasileiro;cotacao.spo@ebtrans.com.br;MACEIO;AL
FAVORITA;umberto@favorita.com.br;MACEIO;AL
FIEZA Cargas;comercial@fiezacargas.com.br;MACEIO;AL
FIGUEIREDO Rápido;comercial02.spo@rapidofigueiredo.com.br;MACEIO;AL
FRANCA EXPRESS;francaexpress@francaexpress.com.br;MACEIO;AL
FRETEBR Cargas;cotacao@fretebr.net.br;MACEIO;AL
FRETELOG;comercial@fretelogtransportes.com.br;MACEIO;AL
FRETTE Intermodal;cotacao@fretteintermodal.com.br;MACEIO;AL
FUTURA LOG;cotacao@futuralog.com.br;MACEIO;AL
GAMPER;cotacaosp@transgamper.com.br;MACEIO;AL
GRIDLOG;comercial.sp@gridlog.com.br;MACEIO;AL
GUIEX;comercial@guiextransportes.com;MACEIO;AL
GVTR Transportes;comercial@gvtrtransportes.com.br;MACEIO;AL
HAPPENING;fabio@happening.com.br;MACEIO;AL
HERVI;claudia@hervi.com.br;MACEIO;AL
IDEAL Cargas SP;comercial5@idealcargas.com;MACEIO;AL
IDS -Logística;idslogisticagru@gmail.com;MACEIO;AL
IMB Logística;cotacao@imblog.com.br;MACEIO;AL
IMPAKTO;comercial.sp@impaktotransportes.com.br;MACEIO;AL
IMPÉRIO Logística;comercial@imperiologistica.com.br;MACEIO;AL
INTER EXPRESSA;comercial@interexpressa.com.br;MACEIO;AL
ITAPIRENSE-BERTINI;mbuenom@terra.com.br;MACEIO;AL
J&C;transportesjc366@gmail.com;MACEIO;AL
JAK LOG;expressojaklogcotacoes@hotmail.com;MACEIO;AL
JAVE Transportes;comercial@javetransportes.com.br;MACEIO;AL
JEM;cotacao@dfltransportes.com.br;MACEIO;AL
JHC EXPRESS;comercial@jhcexpress.com;MACEIO;AL
JJ2000 Transportes;saopaulo@jj2000.com.br;MACEIO;AL
JM TRANSPORTES;jm.gerenciasp@jmtransporte.com.br;MACEIO;AL
JOLEEMIX;expedicaosp2@jolee.com.br;MACEIO;AL
JORTEK Express;comercial@jortek.com.br;MACEIO;AL
JT Transportes;walquiria@jttransportes.com.br;MACEIO;AL
JULIA Transportes;cotacao@juliatransportes.com.br;MACEIO;AL
KADOSHI;comercial@kadoshitransportes.com.br;MACEIO;AL
KAFENY;kafeny@kafenytransportes.com.br;MACEIO;AL
KM Cargas;comercial@kmcargas.com.br;MACEIO;AL
L&A Transportes;operacional@latranslog.com.br;MACEIO;AL
LAURIMAR;comercial@laurimar.com.br;MACEIO;AL
LDJ Logística;ldjsaopaulo@ldjlogistica.com.br;MACEIO;AL
LEADERSHIP FREIGHT;sao@lfgex.com;MACEIO;AL
LEOFRAN;comercial.sp@leofran.com.br;MACEIO;AL
LFE Logística e Armazenagem;financeiro@lfelogistica.com.br;MACEIO;AL
LGS Logística;comercial@lgslogistica.com.br;MACEIO;AL
LILOG Express;cotacaoaereo@lilog.com.br;MACEIO;AL
LILOG Rodoaéreo;cotacao01@lilog.com.br;MACEIO;AL
LIMA Express;comercial1@lslimaexpress.com.br;MACEIO;AL
LIVE LOG;comercial@livelogtrans.com.br;MACEIO;AL
LOGAN Express;comercial@ldldistribuidora.com.br;MACEIO;AL
LOGISTAR;comercial@logistarlog.com.br;MACEIO;AL
LOGMED;contato@logmed.net;MACEIO;AL
LUKS PRESS;comercial@lukspresstransportes.com.br;MACEIO;AL
LUNA EXPRESS;contato@lunaexpress.com.br;MACEIO;AL
LUXUS;sac@expressoluxus.com.br;MACEIO;AL
LV Transportadora;comercial.sp@transportadoralv.com.br;MACEIO;AL
MCP Transportes;comercial@mcptransportes.com.br;MACEIO;AL
METATRON;cotacao.b@metatronexpress.com.br;MACEIO;AL
MODULAR;comercialsp@modular.com.br;MACEIO;AL
MONTANTTE;montantte@montanttetransportes.com.br;MACEIO;AL
MONTCAR Expresso;saopaulo@expressomontcar.com.br;MACEIO;AL
MONTONE;vendas2@transmontone.com.br;MACEIO;AL
MOTIVA;comercial@motivatransportes.com.br;MACEIO;AL
MVS -Transportes;mvstransportes@hotmail.com;MACEIO;AL
NACIONAL Cargas;comercial@nacionalcargas.com;MACEIO;AL
NEXTLOG;comercial@nextlogsp.com.br;MACEIO;AL
NLT Transportes;nlt@nlttransportes.com;MACEIO;AL
NOVA BRASÍLIA;comercial@tnb.com.br;MACEIO;AL
NR Express;comercial@nrexpress.com.br;MACEIO;AL
OSTEL;ostel@ostel.com.br;MACEIO;AL
OVERLOG;comercial2@overlog.com.br;MACEIO;AL
PAPALÉGUAS;sac@papaleguasencomendas.com.br;MACEIO;AL
PERFECT SP;comercial1@perfectsp.com.br;MACEIO;AL
PERNAMBUCO;atendimento@pernambucotransportes.com.br;MACEIO;AL
PETROCARGAS;cotacaosp@petrocargas.com.br;MACEIO;AL
PETROLINA Expresso;comercial@expressopetrolina.com;MACEIO;AL
PEXLOG;comercial.sp@pexlog.com.br;MACEIO;AL
POTENCIAL Cargas;comercial@potencialcargas.com.br;MACEIO;AL
PRESSÁGIO;cotacao@expressopressagio.com.br;MACEIO;AL
PRIMORDIAL Cargas;comercial@primordialcargas.com.br;MACEIO;AL
PROGRESSO;cotacao@progressotransportes.com.br;MACEIO;AL
QUALY TRANS;marcos@qualytrans.net;MACEIO;AL
R&J Transportes;cotacao@rjtransportes.com.br;MACEIO;AL
R&M Transportes;comercial@rmlogisticasp.com.br;MACEIO;AL
RD Expresslog;comercial3@rdexpresslog.com.br;MACEIO;AL
REFERENCIAL;referencial@referencialtransportes.com.br;MACEIO;AL
RFC Transportes;comercial@transportesrfc.com.br;MACEIO;AL
RG OSASCO;vendasrggo@rgtransportes.com.br;MACEIO;AL
RG Soluções Logísticas;comercialrgsolucoes@rgtransportes.com.br;MACEIO;AL
RHADASSA LOG;comercial@rhadassalog.com.br;MACEIO;AL
RISPA;contato@rispatransportes.com.br;MACEIO;AL
RLV LOG Express;cotacao@rlvlog.com.br;MACEIO;AL
ROCHA ;comercial2@rochatransporte.com.br;MACEIO;AL
RODOCERTO;assistente.comercial@rodocerto.com.br;MACEIO;AL
RODOJUNIOR;rodojunior@pocos-net.com.br;MACEIO;AL
RODONORTE;rodonorte.spo@gmail.com;MACEIO;AL
RODUART;atendimento@roduart.com.br;MACEIO;AL
ROMERA;l.expressoromera@ig.com.br;MACEIO;AL
RORAIMA Logística;cotacoes@roraimalog.com.br;MACEIO;AL
ROTA BAHIA;rotabahialogistica01@gmail.com;MACEIO;AL
RR Cargo;alex.mendes@rrcargo.com.br;MACEIO;AL
SANTA LUZIA;atendimento@expressosantaluzia.com.br;MACEIO;AL
SARON;cotacao@rapidosaron.com.br;MACEIO;AL
SCARPATO;scarpatope@uol.com.br;MACEIO;AL
SEGMA;comercial@segmatransporte.com.br;MACEIO;AL
SJLOG Transportes;comercial@sjlogtransportes.com.br;MACEIO;AL
SM -Sua Majestade;cotacao@suamajestade.com.br;MACEIO;AL
SONS Transportes;dayse.comercial@sonstransportes.com;MACEIO;AL
SPMax;comercial@spmaxtransportes.com.br;MACEIO;AL
STREET;comercial@streettransportes.com.br;MACEIO;AL
SUED Logística;comercial@suedlogistica.com;MACEIO;AL
TADEX;tadex@tadex.com.br;MACEIO;AL
TAMBAÚ;comercial@rapidotambau.com.br;MACEIO;AL
TB CARGO;brunno@tbcargo.com.br;MACEIO;AL
TESLLA;transportes@tesllalogistica.com;MACEIO;AL
TFE ;contato@tfetransportes.com.br;MACEIO;AL
TRAGA-Garcia São Carlos;cotacao@traga.com.br;MACEIO;AL
TRANS DNL;comercial@transdnl.com.br;MACEIO;AL
TRANS IMPÉRIO Rodoaéreo;cotacao@transimperio.com;MACEIO;AL
TRANSARIMATÉIA;transarimateiabauru@uol.com.br;MACEIO;AL
TRANSCARGA São Carlos;ttsp@terra.com.br;MACEIO;AL
TRANSCHICÃO;coleta@transchicao.com.br;MACEIO;AL
TRANSDEL LOG;fabricio.comercial@transdel.net;MACEIO;AL
TRANSFACE;comercial.sp02@transface.com.br;MACEIO;AL
TRANSHIZZA;emerson@transhizza.com.br;MACEIO;AL
TRANSITA;transita@transita.com.br;MACEIO;AL
TRANSLOGAALMEIDA;translogoaalmeidasp@gmail.com;MACEIO;AL
TRANSMISAN;compras@transmisan.com.br;MACEIO;AL
TRANSNORTEX;comercial.sp@transnortex.com.br;MACEIO;AL
TRANSOUZA;transouzasp@hotmail.com;MACEIO;AL
TRANSPALOTA;cotacao@transpalota.com.br;MACEIO;AL
TRANSPAULA;comercial@transpaula.com.br;MACEIO;AL
TRANSPAULISTANA SP;transpaulistana.sp@hotmail.com;MACEIO;AL
TRANSPEN Cargas;logistica@transpen.com.br;MACEIO;AL
TRANSR Sorocaba;contato@transrsorocaba.com.br;MACEIO;AL
TRANSVOAR;comercial1@transvoar.com.br;MACEIO;AL
TRANSWELL'S;transwells@transwells.com.br;MACEIO;AL
TRANSZECÃO;coleta@transzecao.com.br;MACEIO;AL
TRAVEL EXPRESS;comercial@travelexpresslog.com.br;MACEIO;AL
TRNLOG Rodoviário Nasa;thais@trnlog.com.br;MACEIO;AL
TRUCKS Transportes;contato@ricardotruck.com.br;MACEIO;AL
TUPILOG;cotacao@tupilog.com.br;MACEIO;AL
VELFRANZ LOG;velfranzlog@gmail.com;MACEIO;AL
VIA MUNDO;contato.transvias@viamundotransportes.com.br;MACEIO;AL
VIA SP Transporte;venancioweriton@gmail.com;MACEIO;AL
VOO Transportes;comercialmtz02@vootransportes.com.br;MACEIO;AL
VSJ Express;comercial@vsjexpress.com.br;MACEIO;AL
WELL Rápido Well;cotacao@rapidowell.com.br;MACEIO;AL
